Review_Rating,,Review_Rating Avgerage,,,Movie Length,,Movie Length Average
3.7,,4.793209877,,,82,,90.92052469
5.1,,,,,90,,
4.6,,,,,90,,
3.6,,,,,70,,
2.7,,,,,86,,
3.6,,,,,85,,
4.7,,,,,82,,
4,,,,,100,,
4.1,,,,,83,,
5.4,,,,,89,,
6.2,,,,,140,,
5.6,,,,,81,,
5.3,,,,,90,,
2.1,,,,,87,,
4.1,,,,,96,,
4.1,,,,,95,,
4.4,,,,,93,,
4.1,,,,,85,,
2,,,,,100,,
3.5,,,,,94,,
6.9,,,,,90,,
4.1,,,,,75,,
3.5,,,,,76,,
1.4,,,,,75,,
2.2,,,,,79,,
5.1,,,,,93,,
3.5,,,,,93,,
5.4,,,,,87,,
3,,,,,75,,
6.6,,,,,95,,
2.4,,,,,94,,
4.8,,,,,83,,
4.8,,,,,67,,
3.4,,,,,91,,
3.8,,,,,80,,
6,,,,,61,,
2.9,,,,,90,,
1.9,,,,,85,,
4.4,,,,,83,,
3.4,,,,,81,,
2.5,,,,,90,,
3.9,,,,,88,,
2.7,,,,,82,,
6.4,,,,,100,,
3.4,,,,,85,,
4,,,,,85,,
3.7,,,,,83,,
6.9,,,,,90,,
5.1,,,,,71,,
2.8,,,,,81,,
4.2,,,,,85,,
6.3,,,,,84,,
4.5,,,,,85,,
6.2,,,,,151,,
3.6,,,,,75,,
4.9,,,,,80,,
2.9,,,,,75,,
3.7,,,,,83,,
3.9,,,,,87,,
2,,,,,74,,
3.6,,,,,79,,
4.6,,,,,65,,
5.1,,,,,86,,
4.7,,,,,96,,
3.5,,,,,86,,
8,,,,,75,,
4.9,,,,,120,,
3,,,,,92,,
3.6,,,,,92,,
4.4,,,,,85,,
3.6,,,,,87,,
2.5,,,,,97,,
4.3,,,,,95,,
3.4,,,,,96,,
7.1,,,,,90,,
8.6,,,,,73,,
4.7,,,,,96,,
4.3,,,,,72,,
3.5,,,,,85,,
3.8,,,,,87,,
3.9,,,,,96,,
5,,,,,87,,
4.2,,,,,97,,
4.2,,,,,84,,
5.8,,,,,93,,
3.4,,,,,93,,
5.8,,,,,86,,
4.5,,,,,91,,
3.3,,,,,96,,
4.4,,,,,98,,
5.6,,,,,84,,
3.9,,,,,90,,
5.5,,,,,89,,
1.9,,,,,75,,
4.5,,,,,77,,
4.1,,,,,81,,
4.3,,,,,86,,
3.2,,,,,110,,
4.1,,,,,90,,
