Title,Year,Genre-Horror,Genre-Thriller,Genre-Sci-Fi,Genre-Mystery,Genre-Romance,Genre-Fantasy,Genre-Comdey,Genre-Drama,Genre-Crime,Genre-War,Genre-Western,Genre-Musical,Genre-Family,Genre-Adventure,Genre-Sport,Genre-History,Release Date,Release Country,Movie Rating,Review Rating,Movie Run Time,Plot,Cast,Language,Directors1,Cast1,Plot1
Treasure Chest of Horrors II ,2013, Horror,Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,23-Apr-13,USA,NOT RATED,3.7,82 min,"Directed by M. Kelley, Shawn C. Phillips, Alex Powers. With Veronica Ricci, Nicholas Adam Clark, James Cullen Bressack, Nick Waugh. Mona Screamalot, along with her crazy family, prepares you for six short horror films from deep within her trashy treasure chest. This anthology features party killers, giant killer babies, an angry murderous child, a bacterial infection like no other, a murderous cross dresser,a killer in the woods, and Satan. Oh yeah, don't forget the buckets of blood.",Veronica Ricci|Nicholas Adam Clark|James Cullen Bressack|Nick Waugh|Shawn C. Phillips|Brent Buser|Miles Dougal|Joseph Frantz|M. Kelley|Brendan Mitchell|Joben Penuliar|Ethan Phillips|Kim Phillips|Stephen Phillips|Alex Powers,English,Directed by M," Kelley, Shawn C"," Phillips, Alex Powers"
Ghostlight ,2013, Horror,Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,3-Jun-14,USA,NOT RATED,5.1,90 min,"Directed by Jeff Ferrell. With Eden Campbell, Lisa Coronado, David A. Crellin, Jeff Ferrell. Andrew wins a radio contest to spend one night alone in a haunted theater on the 80th anniversary of the bloody murder/suicide that occurred within its walls. His prize: $50,000. His task: To spend 12 hours alone inside. The catch: The theater has been reportedly haunted ever since the tragedy 80 years ago, and has been plagued by a series of mysterious deaths in the years since. As Andrew is ...",Eden Campbell|Lisa Coronado|David A. Crellin|Jeff Ferrell|Ramona Freeborn|Russell Hodgkinson|Dennis Kleinsmith|Brian Sutherland,English,Directed by Jeff Ferrell," With Eden Campbell, Lisa Coronado, David A"," Crellin, Jeff Ferrell"
Stranger in the House ,2015, Horror,Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,28-May-17,Spain,PG-13,4.6,90 min,"Directed by Devon Gummersall. With Annabella Sciorra, Tammy Blanchard, Nathan Darrow, Dennis Boutsikaris. Eve has married the man of her dreams but when they return to live in the house willed to him by his first wife who died under horrific circumstances, it becomes a waking nightmare as Eve falls into a spiral of suspicion and madness.",Annabella Sciorra|Tammy Blanchard|Nathan Darrow|Dennis Boutsikaris|Jenn Liu|Roberta Maxwell|Bettina Skye|Angela Lin|Susan-Kate Heaney|Paul Urcioli|Yvette Mercedes|Peter Sabri|Fatima Mai|Denis Silvestri|Mike Nojun Park,English,Directed by Devon Gummersall," With Annabella Sciorra, Tammy Blanchard, Nathan Darrow, Dennis Boutsikaris"," Eve has married the man of her dreams but when they return to live in the house willed to him by his first wife who died under horrific circumstances, it becomes a waking nightmare as Eve falls into a spiral of suspicion and madness"
Rise of the Animals ,2011, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,1-May-12,USA,NOT RATED,3.6,70 min,"Directed by Chris Wojcik. With Greg Hoople, Stephanie Motta, Adam Schonberg, Nikki Preston. In a world where animals have turned on humanity, a teen travels across the country in search of the girl of his dreams.",Greg Hoople|Stephanie Motta|Adam Schonberg|Nikki Preston|Charles Bigelow|Phillip Musumeci|Katie LeVander|Melissa Orioli|Laura Blank|Tricia Dalusio|Brittany Cerra|Renee Radwan|Justine Turner|Max Roth|Charlie Roth,English,Directed by Chris Wojcik," With Greg Hoople, Stephanie Motta, Adam Schonberg, Nikki Preston"," In a world where animals have turned on humanity, a teen travels across the country in search of the girl of his dreams"
Dark Medicine ,2013, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,2013,USA,NOT RATED,2.8,72 min,"Directed by Tariq Nasheed. With Ola Akinroluyo, Byron Baudo, Josh Bednarsky, Emily Brooks. A middle school in a small college town was recently shut down because of mysterious toxins found on the premise. These toxins were cause by a secret eugenics program gone wrong. Tonight, a group of college friends discover the abandoned school, and decide to explore it just for fun. Once inside, they soon realize that that school is not so abandoned.",Ola Akinroluyo|Byron Baudo|Josh Bednarsky|Emily Brooks|Corey Browne|Shawn Calloway|Drew Chase|JinYoung Choi|Russ Kingston|Abbey Kochman|Nyell Leahy|Kelci C. Magel|Robert Maxwell|Tariq Nasheed|Rachelle Neal,English,Directed by Tariq Nasheed," With Ola Akinroluyo, Byron Baudo, Josh Bednarsky, Emily Brooks", A middle school in a small college town was recently shut down because of mysterious toxins found on the premise
Zombie Resurrection ,2014, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,23-Mar-15,UK,NOT RATED,2.7,86 min,"Directed by Jake Hawkins, Andy Phelps. With Eric Colvin, Jim Sweeney, Danny Brown, Simon Burbage. 15 months after the apocalypse, a group of survivors are forced to take refuge in an abandoned school, where they encounter a mysterious zombie with the power to bring the undead back to life.",Eric Colvin|Jim Sweeney|Danny Brown|Simon Burbage|Jade Colucci|Joe Rainbow|Rachel Nottingham|Shamiso Mushambi|Georgia Winters|Rupert Phelps|Jamie Frampton|Kate Korbel|Andy Bazire|Ian McIntyre|Jake Hawkins,English,"Directed by Jake Hawkins, Andy Phelps"," With Eric Colvin, Jim Sweeney, Danny Brown, Simon Burbage"," 15 months after the apocalypse, a group of survivors are forced to take refuge in an abandoned school, where they encounter a mysterious zombie with the power to bring the undead back to life"
I Am ZoZo ,2012, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,18-Feb-12,USA,UNRATED,3.6,85 min,"Directed by Scott Di Lalla. With Kelly McLaren, Courtney Foxworthy, Demetrius Sager, Caleb Courtney. I Am ZoZo is a psychological thriller about five young people who play with a Ouija board on Halloween and attract the attention of a malevolent demon. The film is based on real experiences with an ancient and malevolent spirit called ZoZo that attaches itself to people exclusively through Ouija boards. I Am ZoZo was shot last fall on location on San Juan Island, WA and Seattle entirely on Kodak ...",Kelly McLaren|Courtney Foxworthy|Demetrius Sager|Caleb Courtney|Caleb Debattista|Darren Wayne Evans|John Vejvoda|Sophia Mitri Schloss|Demeri Millikin,English,Directed by Scott Di Lalla," With Kelly McLaren, Courtney Foxworthy, Demetrius Sager, Caleb Courtney", I Am ZoZo is a psychological thriller about five young people who play with a Ouija board on Halloween and attract the attention of a malevolent demon
Before Dawn ,2013, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,8-Jun-13,Japan,NOT RATED,4.7,82 min,"Directed by Dominic Brunt. With Dominic Brunt, Joanne Mitchell, Eileen O'Brien, Nicky Evans. An estranged couple's vacation to save their troubled relationship goes awry when they find themselves under attack from the walking dead",Dominic Brunt|Joanne Mitchell|Eileen O'Brien|Nicky Evans|Alex Baldacci|Alan French|Holly Illis|David Nolan|Neale Myers|Bryn Hammond|Mark Charnock|Tony Earnshaw|Ian Jowett,English,Directed by Dominic Brunt," With Dominic Brunt, Joanne Mitchell, Eileen O'Brien, Nicky Evans", An estranged couple's vacation to save their troubled relationship goes awry when they find themselves under attack from the walking dead
Apparition ,2015, Horror,Thriller,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,5-May-15,USA,NOT RATED,4,100 min,"Directed by Quinn Saunders. With Katrina Law, Jody Quigley, Lili Bordán, Jarett Armstrong. When Doug's fiancée is killed in a car accident he retreats to their isolated farmhouse to recover from his loss, but supernatural occurrences leave him fearing for his sanity and reveal a secret she took with her to the grave.",Katrina Law|Jody Quigley|Lili Bordán|Jarett Armstrong|Rebeka Choudhury|Airen DeLaMater|Dave Droxler|Joseph Forsstrom|Pete Postiglione|Megan Rose|Thomas Roy|Tom Settefrati|Margo Trovei,English,Directed by Quinn Saunders," With Katrina Law, Jody Quigley, Lili Bordán, Jarett Armstrong"," When Doug's fiancée is killed in a car accident he retreats to their isolated farmhouse to recover from his loss, but supernatural occurrences leave him fearing for his sanity and reveal a secret she took with her to the grave"
Septic Man ,2013, Horror,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,NO GENRE,15-Aug-14,USA,R,4.1,83 min,"Directed by Jesse Thomas Cook. With Jason David Brown, Molly Dunsworth, Julian Richings, Robert Maillet. A sewage worker gets trapped inside a septic tank during a water contamination crisis and undergoes a hideous transformation.",Jason David Brown|Molly Dunsworth|Julian Richings|Robert Maillet|Timothy Burd|Stephen McHattie|Nicole G. Leier|Charlie Baker|Tony Burgess,English,Directed by Jesse Thomas Cook," With Jason David Brown, Molly Dunsworth, Julian Richings, Robert Maillet", A sewage worker gets trapped inside a septic tank during a water contamination crisis and undergoes a hideous transformation
