show_id,title,StreamR,listed_in,date_added,release_year,country,Family, Classic, Comedies, Cult,Documentaries, Dramas,Spirituality, Horror,Independent, International, LGBTQ,Musicals, Romantic, Sci_Fi, Sports, Stand_Up_Comedy, Thrillers
81145628,Norm of the North: King Sized Adventure,Movie,"Children & Family Movies, Comedies",9/9/2019,2019,"United States, India, South Korea, China",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80117401,Jandino: Whatever it Takes,Movie,Stand-Up Comedy,9/9/2016,2016,United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80125979,#realityhigh,Movie,Comedies,9/8/2017,2017,United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70304989,Automata,Movie,"International Movies, Sci-Fi & Fantasy, Thrillers",9/8/2017,2014,"Bulgaria, United States, Spain, Canada",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80164077,Fabrizio Copano: Solo pienso en mi,Movie,Stand-Up Comedy,9/8/2017,2017,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70304990,Good People,Movie,"Action & Adventure, Thrillers",9/8/2017,2014,"United States, United Kingdom, Denmark, Sweden",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80169755,JoaquÃ­n Reyes: Una y no mÃ¡s,Movie,Stand-Up Comedy,9/8/2017,2017,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70299204,Kidnapping Mr. Heineken,Movie,"Action & Adventure, Dramas, International Movies",9/8/2017,2015,"Netherlands, Belgium, United Kingdom, United States",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
80182480,Krish Trish and Baltiboy,Movie,Children & Family Movies,9/8/2017,2009,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80182483,Krish Trish and Baltiboy: Battle of Wits,Movie,Children & Family Movies,9/8/2017,2013,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80182596,Krish Trish and Baltiboy: Best Friends Forever,Movie,Children & Family Movies,9/8/2017,2016,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80182482,Krish Trish and Baltiboy: Comics of India,Movie,Children & Family Movies,9/8/2017,2012,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80182597,Krish Trish and Baltiboy: Oversmartness Never Pays,Movie,Children & Family Movies,9/8/2017,2017,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80182481,Krish Trish and Baltiboy: Part II,Movie,Children & Family Movies,9/8/2017,2010,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
