show_id,title,StreamR,listed_in,date_added,release_year,country
81145628,Norm of the North: King Sized Adventure,Movie,"Children & Family Movies, Comedies",2019-09-09,2019,"United States, India, South Korea, China"
80117401,Jandino: Whatever it Takes,Movie,Stand-Up Comedy,2016-09-09,2016,United Kingdom
70234439,Transformers Prime,TV_Show,Kids' TV,2018-09-08,2013,United States
80058654,Transformers: Robots in Disguise,TV_Show,Kids' TV,2018-09-08,2016,United States
80125979,#realityhigh,Movie,Comedies,2017-09-08,2017,United States
80163890,Apaches,TV_Show,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2017-09-08,2016,Spain
70304989,Automata,Movie,"International Movies, Sci-Fi & Fantasy, Thrillers",2017-09-08,2014,"Bulgaria, United States, Spain, Canada"
80164077,Fabrizio Copano: Solo pienso en mi,Movie,Stand-Up Comedy,2017-09-08,2017,Chile
80117902,Fire Chasers,TV_Show,"Docuseries, Science & Nature TV",2017-09-08,2017,United States
70304990,Good People,Movie,"Action & Adventure, Thrillers",2017-09-08,2014,"United States, United Kingdom, Denmark, Sweden"
80169755,Joaquín Reyes: Una y no más,Movie,Stand-Up Comedy,2017-09-08,2017,
70299204,Kidnapping Mr. Heineken,Movie,"Action & Adventure, Dramas, International Movies",2017-09-08,2015,"Netherlands, Belgium, United Kingdom, United States"
80182480,Krish Trish and Baltiboy,Movie,Children & Family Movies,2017-09-08,2009,
80182483,Krish Trish and Baltiboy: Battle of Wits,Movie,Children & Family Movies,2017-09-08,2013,
80182596,Krish Trish and Baltiboy: Best Friends Forever,Movie,Children & Family Movies,2017-09-08,2016,
80182482,Krish Trish and Baltiboy: Comics of India,Movie,Children & Family Movies,2017-09-08,2012,
80182597,Krish Trish and Baltiboy: Oversmartness Never Pays,Movie,Children & Family Movies,2017-09-08,2017,
80182481,Krish Trish and Baltiboy: Part II,Movie,Children & Family Movies,2017-09-08,2010,
80182621,Krish Trish and Baltiboy: The Greatest Trick,Movie,Children & Family Movies,2017-09-08,2013,
80057969,Love,Movie,"Cult Movies, Dramas, Independent Movies",2017-09-08,2015,"France, Belgium"
80060297,Manhattan Romance,Movie,"Comedies, Independent Movies, Romantic Movies",2017-09-08,2014,United States
80046728,Moonwalkers,Movie,"Action & Adventure, Comedies, International Movies",2017-09-08,2015,"France, Belgium"
80046727,Rolling Papers,Movie,Documentaries,2017-09-08,2015,"United States, Uruguay"
70304988,Stonehearst Asylum,Movie,"Horror Movies, Thrillers",2017-09-08,2014,United States
80057700,The Runner,Movie,"Dramas, Independent Movies",2017-09-08,2015,United States
80045922,6 Years,Movie,"Dramas, Independent Movies, Romantic Movies",2015-09-08,2015,United States
80244601,Castle of Stars,TV_Show,"International TV Shows, Romantic TV Shows, TV Comedies",2018-09-07,2015,
80203094,City of Joy,Movie,Documentaries,2018-09-07,2018,"United States,"
80190843,First and Last,TV_Show,Docuseries,2018-09-07,2018,
70241607,Laddaland,Movie,"Horror Movies, International Movies",2018-09-07,2011,Thailand
80988892,Next Gen,Movie,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",2018-09-07,2018,"China, Canada, United States"
80239639,Sierra Burgess Is A Loser,Movie,"Comedies, Romantic Movies",2018-09-07,2018,United States
80159586,The Most Assassinated Woman in the World,Movie,"Dramas, International Movies, Thrillers",2018-09-07,2018,"Belgium, United Kingdom, United States"
80152447,Cézanne et moi,Movie,"Dramas, Independent Movies, International Movies",2017-09-07,2016,"Belgium, France"
80221550,Archibald's Next Big Thing,TV_Show,"Kids' TV, TV Comedies",2019-09-06,2019,
81154455,Article 15,Movie,"Dramas, International Movies, Thrillers",2019-09-06,2019,India
81113928,Care of Kancharapalem,Movie,"Comedies, Dramas, Independent Movies",2019-09-06,2018,
81052275,Ee Nagaraniki Emaindi,Movie,"Comedies, International Movies",2019-09-06,2018,India
81132437,Kill Me If You Dare,Movie,"Comedies, International Movies, Romantic Movies",2019-09-06,2019,
80178151,The Spy,TV_Show,"International TV Shows, TV Dramas, TV Thrillers",2019-09-06,2019,France
80058026,Hell and Back,Movie,"Action & Adventure, Comedies, Independent Movies",2018-09-06,2015,United States
70303496,PK,Movie,"Comedies, Dramas, International Movies",2018-09-06,2014,India
80162141,Hard Tide,Movie,"Dramas, Independent Movies",2017-09-06,2015,United Kingdom
80095641,Elstree 1976,Movie,Documentaries,2016-09-06,2015,United Kingdom
81176188,American Factory: A Conversation with the Obamas,Movie,Documentaries,2019-09-05,2019,
80159880,ATM,Movie,"Comedies, International Movies, Romantic Movies",2018-09-05,2012,"United States, Canada"
81016044,Bangkok Traffic (Love) Story,Movie,"Comedies, International Movies, Romantic Movies",2018-09-05,2009,Thailand
80158838,I Fine... Thank You... Love You,Movie,"Comedies, International Movies, Romantic Movies",2018-09-05,2014,Thailand
81016045,One Day,Movie,"Dramas, International Movies, Romantic Movies",2018-09-05,2016,Thailand
70142798,Phobia 2,Movie,"Horror Movies, International Movies",2018-09-05,2009,Thailand
70062814,Shutter,Movie,"Horror Movies, International Movies",2018-09-05,2004,Thailand
80158839,Suckseed,Movie,"Comedies, International Movies",2018-09-05,2011,Thailand
80147760,Carrie Pilby,Movie,"Comedies, Dramas",2017-09-05,2016,United States
80177405,Marc Maron: Too Real,Movie,Stand-Up Comedy,2017-09-05,2017,United States
80113482,No Tomorrow,TV_Show,"Romantic TV Shows, TV Comedies, TV Dramas",2017-09-05,2016,United States
81160036,Saawan,Movie,"Dramas, Independent Movies, International Movies",2019-09-04,2016,Pakistan
81173255,The Heretics,Movie,Horror Movies,2019-09-04,2017,Canada
81078908,The World We Make,Movie,"Dramas, Romantic Movies",2019-09-04,2019,United States
81155784,Watchman,Movie,"Comedies, Dramas, International Movies",2019-09-04,2019,India
80201906,Black Panther,Movie,"Action & Adventure, Sci-Fi & Fantasy",2018-09-04,2018,United States
80052612,Man Up,Movie,"Comedies, International Movies, Romantic Movies",2018-09-04,2015,"United Kingdom, France"
80113641,Frequency,TV_Show,"Crime TV Shows, TV Dramas, TV Mysteries",2017-09-04,2016,United States
81054495,Mo Gilligan: Momentum,Movie,Stand-Up Comedy,2019-09-30,2019,United Kingdom
80996949,Adam Ruins Everything,TV_Show,TV Comedies,2018-09-30,2018,United States
80239337,Ben 10,TV_Show,Kids' TV,2018-09-30,2016,United States
70212504,Big Miracle,Movie,"Children & Family Movies, Dramas",2018-09-30,2012,"United States, United Kingdom"
81011682,Christiane Amanpour: Sex & Love Around the World,TV_Show,Docuseries,2018-09-30,2018,United States
80128317,The Eighties,TV_Show,Docuseries,2018-09-30,2016,United States
81027384,The Nineties,TV_Show,Docuseries,2018-09-30,2017,United States
80030186,The Seventies,TV_Show,Docuseries,2018-09-30,2015,United States
80116921,We Bare Bears,TV_Show,"Kids' TV, TV Comedies",2018-09-30,2017,United States
80187061,The Mayor,Movie,"Dramas, International Movies",2017-09-30,2017,South Korea
80181555,The Royal House of Windsor,TV_Show,"British TV Shows, Docuseries, International TV Shows",2017-09-30,2017,United Kingdom
80081155,Amanda Knox,Movie,Documentaries,2016-09-30,2016,"Denmark, United States"
80184358,Lovesick,TV_Show,"International TV Shows, Romantic TV Shows, TV Dramas",2018-09-03,2014,
80198585,The Debt Collector,Movie,Action & Adventure,2018-09-03,2018,"United Kingdom, United States"
70233894,Act of Vengeance,Movie,"Action & Adventure, International Movies",2018-09-29,2010,"Turkey, United States"
81011955,Paradise Lost,Movie,"Dramas, Independent Movies, International Movies",2018-09-29,2018,Brazil
80128722,Gerald's Game,Movie,"Horror Movies, Thrillers",2017-09-29,2017,United States
80182115,Long Shot,Movie,Documentaries,2017-09-29,2017,United States
80163293,Mak Cun,TV_Show,"International TV Shows, TV Comedies, TV Dramas",2017-09-29,2015,
80104068,Our Souls at Night,Movie,"Dramas, Romantic Movies",2017-09-29,2017,United States
80119349,Out of Thin Air,Movie,"Documentaries, International Movies",2017-09-29,2017,
80199032,Paul Hollywood's Big Continental Road Trip,TV_Show,"British TV Shows, Docuseries, International TV Shows",2017-09-29,2017,United Kingdom
80180449,Satu Hari,TV_Show,"International TV Shows, TV Dramas",2017-09-29,2014,
80019931,"Monster High: Boo York, Boo York",Movie,"Children & Family Movies, Music & Musicals",2015-09-29,2015,United States
81053893,Cultivating the Seas: History and Future of the Full-Cycle Cultured Kindai Tuna,Movie,"Documentaries, International Movies",2019-09-28,2019,
80200087,Domino,Movie,"International Movies, Thrillers",2019-09-28,2019,"Denmark, France, Italy, Belgium, Netherlands"
81053892,TUNA GIRL,Movie,"Dramas, International Movies",2019-09-28,2019,
81002850,5CM,Movie,"Dramas, International Movies",2018-09-28,2012,Indonesia
81004470,Animal World,Movie,"Action & Adventure, International Movies, Sci-Fi & Fantasy",2018-09-28,2018,China
